timestamp,open,high,low,close,volume
2025-01-01 00:00:00,93576.00000000,94509.42000000,93489.03000000,94401.14000000,755.99010000
2025-01-01 01:00:00,94401.13000000,94408.72000000,93578.77000000,93607.74000000,586.53456000
2025-01-01 02:00:00,93607.74000000,94105.12000000,93594.56000000,94098.91000000,276.78045000
2025-01-01 03:00:00,94098.90000000,94098.91000000,93728.22000000,93838.04000000,220.99302000
2025-01-01 04:00:00,93838.04000000,93838.04000000,93500.00000000,93553.91000000,279.46909000
2025-01-01 05:00:00,93553.91000000,93937.19000000,93547.40000000,93792.02000000,209.17940000
2025-01-01 06:00:00,93792.02000000,93792.02000000,93568.38000000,93757.58000000,272.27846000
2025-01-01 07:00:00,93757.57000000,93800.00000000,93664.08000000,93684.10000000,197.93458000
2025-01-01 08:00:00,93684.11000000,93756.02000000,93304.00000000,93428.46000000,481.71173000
2025-01-01 09:00:00,93428.47000000,93486.29000000,92888.00000000,93413.06000000,798.49773000
2025-01-01 10:00:00,93413.07000000,93536.75000000,93284.00000000,93326.23000000,265.55192000
2025-01-01 11:00:00,93326.24000000,93705.08000000,93200.00000000,93444.64000000,321.72225000
2025-01-01 12:00:00,93444.65000000,93972.00000000,93407.07000000,93820.76000000,499.35613000
2025-01-01 13:00:00,93820.75000000,94058.79000000,93600.28000000,94031.76000000,340.36387000
2025-01-01 14:00:00,94031.77000000,94450.85000000,93671.48000000,94175.89000000,751.90697000
2025-01-01 15:00:00,94175.89000000,94500.00000000,93900.00000000,94432.94000000,486.08395000
2025-01-01 16:00:00,94432.94000000,94492.00000000,93922.00000000,94090.49000000,580.27384000
2025-01-01 17:00:00,94090.50000000,94189.16000000,93760.93000000,94143.85000000,303.86795000
2025-01-01 18:00:00,94143.84000000,94380.44000000,93936.44000000,94340.06000000,291.78831000
2025-01-01 19:00:00,94340.06000000,94823.75000000,94148.34000000,94627.07000000,545.12372000
2025-01-01 20:00:00,94627.08000000,94852.70000000,94579.83000000,94786.23000000,424.42468000
