timestamp,open,high,low,close,volume
2024-06-01 00:00:00,67540.01000000,67703.89000000,67507.39000000,67655.66000000,569.87074000
2024-06-01 01:00:00,67655.66000000,67710.29000000,67428.44000000,67560.00000000,566.55975000
2024-06-01 02:00:00,67560.00000000,67740.00000000,67546.52000000,67729.05000000,327.71958000
2024-06-01 03:00:00,67729.05000000,67757.14000000,67623.24000000,67715.31000000,313.20132000
2024-06-01 04:00:00,67715.31000000,67763.81000000,67656.00000000,67680.01000000,315.96397000
2024-06-01 05:00:00,67680.01000000,67810.00000000,67603.00000000,67686.35000000,316.72396000
2024-06-01 06:00:00,67686.35000000,67729.87000000,67607.94000000,67693.32000000,266.23887000
2024-06-01 07:00:00,67693.32000000,67733.01000000,67575.23000000,67632.08000000,351.80708000
2024-06-01 08:00:00,67632.07000000,67741.06000000,67611.61000000,67704.00000000,376.44780000
2024-06-01 09:00:00,67704.00000000,67760.00000000,67635.00000000,67706.69000000,349.38935000
2024-06-01 10:00:00,67706.69000000,67750.00000000,67627.32000000,67627.33000000,317.62668000
2024-06-01 11:00:00,67627.33000000,67694.00000000,67627.32000000,67660.57000000,249.68951000
2024-06-01 12:00:00,67660.57000000,67872.50000000,67640.00000000,67717.76000000,408.22840000
2024-06-01 13:00:00,67717.76000000,67837.00000000,67714.28000000,67720.01000000,419.26976000
2024-06-01 14:00:00,67720.01000000,67870.00000000,67673.00000000,67803.34000000,379.00520000
2024-06-01 15:00:00,67803.33000000,67824.00000000,67668.01000000,67691.28000000,321.49058000
2024-06-01 16:00:00,67691.28000000,67719.99000000,67612.00000000,67700.01000000,304.87310000
2024-06-01 17:00:00,67700.01000000,67900.00000000,67556.72000000,67791.02000000,1177.16281000
2024-06-01 18:00:00,67791.02000000,67821.73000000,67726.32000000,67750.71000000,277.11069000
2024-06-01 19:00:00,67750.70000000,67782.64000000,67685.72000000,67753.76000000,174.52798000
2024-06-01 20:00:00,67753.76000000,67796.54000000,67700.00000000,67796.54000000,337.18395000
2024-06-01 21:00:00,67796.54000000,67820.20000000,67713.23000000,67760.01000000,290.36113000
2024-06-01 22:00:00,67760.01000000,67885.00000000,67710.00000000,67765.40000000,263.44950000
2024-06-01 23:00:00,67765.41000000,67819.78000000,67723.00000000,67766.85000000,163.75962000
2024-06-02 00:00:00,67766.84000000,67910.55000000,67744.00000000,67889.00000000,298.77105000
2024-06-02 01:00:00,67888.99000000,67900.00000000,67710.00000000,67755.00000000,408.07620000
2024-06-02 02:00:00,67755.00000000,67815.00000000,67643.33000000,67733.26000000,340.27499000
2024-06-02 03:00:00,67733.25000000,67807.99000000,67726.31000000,67789.47000000,240.10946000
2024-06-02 04:00:00,67789.48000000,67852.63000000,67745.18000000,67852.62000000,179.28516000
2024-06-02 05:00:00,67852.62000000,67867.60000000,67728.40000000,67728.40000000,208.19005000
2024-06-02 06:00:00,67728.41000000,67852.33000000,67724.60000000,67841.09000000,326.57495000
2024-06-02 07:00:00,67841.09000000,67842.91000000,67720.41000000,67721.00000000,342.48176000
2024-06-02 08:00:00,67721.01000000,67812.57000000,67671.81000000,67750.67000000,357.78944000
2024-06-02 09:00:00,67750.68000000,67772.65000000,67377.79000000,67529.99000000,1006.07274000
2024-06-02 10:00:00,67530.00000000,67581.97000000,67367.20000000,67529.99000000,381.18834000
2024-06-02 11:00:00,67530.00000000,68320.08000000,67492.60000000,68251.52000000,1213.97200000
2024-06-02 12:00:00,68251.53000000,68305.00000000,67852.24000000,67934.99000000,941.82256000
2024-06-02 13:00:00,67934.99000000,68214.66000000,67800.00000000,68165.98000000,722.27646000
2024-06-02 14:00:00,68165.97000000,68460.00000000,68073.65000000,68252.50000000,2085.25292000
2024-06-02 15:00:00,68252.51000000,68297.12000000,68016.19000000,68142.17000000,465.81443000
2024-06-02 16:00:00,68142.18000000,68200.00000000,67980.00000000,68103.63000000,440.27640000
2024-06-02 17:00:00,68103.63000000,68103.64000000,67808.66000000,67879.28000000,1181.95687000
2024-06-02 18:00:00,67879.27000000,67879.28000000,67456.88000000,67697.14000000,1480.43326000
2024-06-02 19:00:00,67697.14000000,67798.00000000,67257.47000000,67736.95000000,1565.51294000
2024-06-02 20:00:00,67736.95000000,67831.21000000,67577.65000000,67831.20000000,365.03156000
2024-06-02 21:00:00,67831.21000000,67902.12000000,67755.00000000,67816.14000000,263.27949000
2024-06-02 22:00:00,67816.13000000,67984.01000000,67809.96000000,67927.99000000,330.59344000
2024-06-02 23:00:00,67928.00000000,67984.01000000,67765.62000000,67765.63000000,281.28882000
2024-06-03 00:00:00,67765.62000000,67873.87000000,67612.48000000,67823.99000000,545.42052000
2024-06-03 01:00:00,67824.00000000,68553.67000000,67823.80000000,68476.01000000,1377.62869000
2024-06-03 02:00:00,68476.01000000,68793.97000000,68404.51000000,68416.08000000,1163.43425000
2024-06-03 03:00:00,68416.09000000,68518.70000000,68201.00000000,68382.81000000,722.42687000
2024-06-03 04:00:00,68382.80000000,68600.00000000,68285.29000000,68510.00000000,809.57781000
2024-06-03 05:00:00,68510.00000000,68780.00000000,68441.16000000,68700.00000000,803.11096000
2024-06-03 06:00:00,68699.99000000,69221.00000000,68632.01000000,69038.94000000,2491.91796000
2024-06-03 07:00:00,69038.94000000,69179.62000000,68804.00000000,68906.70000000,1420.73895000
2024-06-03 08:00:00,68906.70000000,69333.00000000,68906.69000000,69142.55000000,1257.93453000
2024-06-03 09:00:00,69142.54000000,69187.06000000,68913.72000000,69014.88000000,669.33080000
2024-06-03 10:00:00,69014.89000000,69186.79000000,68876.98000000,68907.99000000,1001.70426000
2024-06-03 11:00:00,68908.00000000,69248.99000000,68824.00000000,69080.00000000,897.94818000
2024-06-03 12:00:00,69080.00000000,69769.30000000,69075.40000000,69746.23000000,1886.90789000
2024-06-03 13:00:00,69746.23000000,70288.00000000,69521.04000000,69795.34000000,2750.03730000
2024-06-03 14:00:00,69795.33000000,70079.67000000,68500.00000000,68776.01000000,3731.05685000
2024-06-03 15:00:00,68776.01000000,69631.16000000,68760.00000000,69615.28000000,1863.02683000
2024-06-03 16:00:00,69615.27000000,69715.61000000,68899.89000000,69080.02000000,1608.62393000
2024-06-03 17:00:00,69080.02000000,69389.92000000,68800.00000000,69268.97000000,786.01880000
2024-06-03 18:00:00,69268.98000000,69444.49000000,69162.98000000,69288.41000000,653.12456000
2024-06-03 19:00:00,69288.41000000,69296.68000000,69021.77000000,69204.00000000,668.62340000
2024-06-03 20:00:00,69204.00000000,69509.38000000,69101.27000000,69101.28000000,924.92879000
2024-06-03 21:00:00,69101.28000000,69191.86000000,68899.51000000,69081.17000000,561.30151000
2024-06-03 22:00:00,69081.17000000,69144.33000000,68810.00000000,69042.51000000,569.52117000
2024-06-03 23:00:00,69042.51000000,69062.19000000,68730.51000000,68809.90000000,469.02919000
2024-06-04 00:00:00,68809.89000000,69090.90000000,68629.90000000,69001.41000000,885.47608000
2024-06-04 01:00:00,69001.40000000,69215.41000000,68900.60000000,69215.40000000,495.15752000
2024-06-04 02:00:00,69215.41000000,69306.67000000,69080.80000000,69139.57000000,426.69517000
2024-06-04 03:00:00,69139.58000000,69370.01000000,69114.98000000,69170.22000000,388.66215000
2024-06-04 04:00:00,69170.22000000,69268.27000000,69057.12000000,69061.22000000,385.62215000
2024-06-04 05:00:00,69061.22000000,69156.16000000,68914.28000000,68956.01000000,450.12894000
2024-06-04 06:00:00,68956.01000000,69039.71000000,68745.68000000,68905.43000000,1152.10393000
2024-06-04 07:00:00,68905.43000000,69074.82000000,68894.21000000,69013.63000000,562.89903000
